Method,AutoTransit,AccessMode,TTStart_Minutes,TTEnd_Minutes_Inclusive,MapClass,JobFract
New,auto,none,0,10,11,1
New,auto,none,10,13.5,10,0.90 - 0.99
New,auto,none,13.5,17,9,0.80 - 0.89
New,auto,none,17,20.5,8,0.70 - 0.79
New,auto,none,20.5,24,7,0.60 - 0.69
New,auto,none,24,27.5,6,0.50 - 0.59
New,auto,none,27.5,31,5,0.40 - 0.49
New,auto,none,31,34.5,4,0.30 - 0.39
New,auto,none,34.5,38,3,0.20 - 0.29
New,auto,none,38,41.5,2,0.10 - 0.19
New,auto,none,41.5,45,1,0.00 - 0.09
Old,auto,none,0,3,11,1
Old,auto,none,3,7.25,10,0.90 - 0.99
Old,auto,none,7.25,9.75,9,0.80 - 0.89
Old,auto,none,9.75,12.25,8,0.70 - 0.79
Old,auto,none,12.25,14.5,7,0.60 - 0.69
Old,auto,none,14.5,17.25,6,0.50 - 0.59
Old,auto,none,17.25,20.25,5,0.40 - 0.49
Old,auto,none,20.25,23.75,4,0.30 - 0.39
Old,auto,none,23.75,29.25,3,0.20 - 0.29
Old,auto,none,29.25,39.25,2,0.10 - 0.19
Old,auto,none,39.25,60,1,0.00 - 0.09
New,transit,walk,0,10,11,1
New,transit,walk,10,15,10,0.90 - 0.99
New,transit,walk,15,20,9,0.80 - 0.89
New,transit,walk,20,25,8,0.70 - 0.79
New,transit,walk,25,30,7,0.60 - 0.69
New,transit,walk,30,35,6,0.50 - 0.59
New,transit,walk,35,40,5,0.40 - 0.49
New,transit,walk,40,45,4,0.30 - 0.39
New,transit,walk,45,50,3,0.20 - 0.29
New,transit,walk,50,55,2,0.10 - 0.19
New,transit,walk,55,60,1,0.00 - 0.09
New,transit,drive,20,25,4,0.35 - 0.40
New,transit,drive,25,30,4,0.30 - 0.35
New,transit,drive,30,35,3,0.25 - 0.29
New,transit,drive,35,40,3,0.20 - 0.24
New,transit,drive,40,45,2,0.15 - 0.19
New,transit,drive,45,50,2,0.10 - 0.15
New,transit,drive,50,55,1,0.05 - 0.09
New,transit,drive,55,60,1,0.00 - 0.04
Old,transit,both,0,3,11,1
Old,transit,both,3,7.25,10,0.90 - 0.99
Old,transit,both,7.25,9.75,9,0.80 - 0.89
Old,transit,both,9.75,12.25,8,0.70 - 0.79
Old,transit,both,12.25,14.5,7,0.60 - 0.69
Old,transit,both,14.5,17.25,6,0.50 - 0.59
Old,transit,both,17.25,20.25,5,0.40 - 0.49
Old,transit,both,20.25,23.75,4,0.30 - 0.39
Old,transit,both,23.75,29.25,3,0.20 - 0.29
Old,transit,both,29.25,39.25,2,0.10 - 0.19
Old,transit,both,39.25,60,1,0.00 - 0.09